
Project				Material	Description	Requirement Element	Receipt Element	Receipt Element No.	Receipt Element Item	Rec./reqd qty	Target Quantity	Release/Creation	Bas. start date	Receipt Date	Requirements Date	MRP Controller	Reqmt Element Number	InhseProdTime	Purch. Group	Base Unit	Pl. Deliv. Time

	106006
			BB15-000153-09	BB15-000153-09	VLV,CHK,CARTRIDGE TYPE,1/4",15KSPI,0.53	DepReq	ProjSt			-1					06.12.2022	C03	             8792202		BC0	EA	            280
			BB17-000294-41	BB17-000294-41	PLG,1.000 M/P,20KPSI W.P.,316SST	DepReq	ShpgNt	         4501726954	                  50	-1	              2			23.05.2022	06.12.2022	L02	             8792202		M25	EA	            159
			BB17-000278-15	BB17-000278-15	NUT, GLAND, 1.000 M/P, 20000 PSI, 316 SS	DepReq	ShpgNt	         4501726954	                  40	-1	              2			23.05.2022	06.12.2022	C03	             8792202		M25	EA	            280
			BB17-000242-32	BB17-000242-32	Volume Excluder, 518.5 cu in	DepReq	ProjSt			-2					06.12.2022	C03	             8792202		BC3	EA	            180
			BB11-KS0702-02	BB11-KS0702-02	E/H SELECTOR VALVE -SWT HP LHS 24VDC	DepReq	POitem	         4501726885	                  50	-2	              4			07.11.2022	06.12.2022	C03	             8792202		U30	EA	            280
			BB11-KS0702-01	BB11-KS0702-01	E/H SELECTOR VALVE - SWT (24Vdc)	DepReq	POitem	         4501726885	                  30	-3	              6			07.11.2022	06.12.2022	C03	             8792202		U30	EA	            280
			BB20-000119-60	BB20-000119-60	O-RING, 10,51x1,83, NBR90A	DepReq	ProjSt			-16					06.12.2022	C03	             8792202		B02	EA	            180
			BB15-000205-52	BB15-000205-52	TIE, LOCKING, F/CABLE, MINIATURE	DepReq	ProjSt			-500					06.12.2022	C03	             8792202		BC0	EA	            280
			BB20-000121-21	BB20-000121-21	O-RING,STATIC FACE SEAL ASSY,15KSI	DepReq	ProjSt			-19					06.12.2022	C03	             8792202		B02	EA	            180
			BB17-000125-27	BB17-000125-27	WASHER, FLAT,TYPE "B" REGULAR, .375 NOM,	DepReq	ProjSt			-12					06.12.2022	C03	             8792202		BC5	EA	            189
			BB17-000120-01	BB17-000120-01	NUT HEX, 1/4-20UNC, 316SH	DepReq	ProjSt			-41					06.12.2022	C03	             8792202		BC5	EA	            140
			BB17-000278-09	BB17-000278-09	NUT, GLAND, .562 M/P, 20000 PSI, 316 SS	DepReq	ProjSt			-2					06.12.2022	C03	             8792202		VJ1	EA	            280
			BB17-000293-27	BB17-000293-27	SHCS HEX, 5/16-18UNRCX1,25, 316SH	DepReq	QM-lot	        10003211087		-8	             16		21.10.2022	21.10.2022	06.12.2022	C03	             8792202		BC5	EA	            280
			10129765	10129765	SHCS HEX, 3/8-16UNRCX1,5, 316SH	DepReq	ProjSt			-4					06.12.2022	C03	             8792202		BC5	EA	            280
